Subject,Year,Score Range,Original Level,Corrected Level
ENG,2014,"[36.70, 37.00]",1,2
ENG,2014,"[43.87, 44.00]",2,3
ENG,2014,"[55.00, 55.13]",4,3
ENG,2014,"[62.00, 62.29]",5,4
ENG,2015,"[36.47, 37.00]",1,2
ENG,2015,"[43.29, 44.00]",2,3
ENG,2015,"[54.00, 55.00]",3,4
ENG,2015,"[60.83, 62.00]",4,5
ENG,2016,"[36.09, 37.00]",1,2
ENG,2016,"[43.05, 44.00]",2,3
ENG,2016,"[53.99, 55.00]",3,4
ENG,2016,"[60.94, 62.00]",4,5
ENG,2017,"[36.53, 37.00]",1,2
ENG,2017,"[43.36, 44.00]",2,3
ENG,2017,"[54.09, 55.00]",3,4
ENG,2017,"[60.92, 62.00]",4,5
ENG,2018,"[36.40, 37.00]",1,2
ENG,2018,"[43.07, 44.00]",2,3
ENG,2018,"[53.55, 55.00]",3,4
ENG,2018,"[60.22, 62.00]",4,5
ENG,2019,"[36.60, 37.00]",1,2
ENG,2019,"[43.10, 44.00]",2,3
ENG,2019,"[53.31, 55.00]",3,4
ENG,2019,"[59.81, 62.00]",4,5
ENG,2020,"[35.49, 37.00]",1,2
ENG,2020,"[42.18, 44.00]",2,3
ENG,2020,"[52.68, 55.00]",3,4
ENG,2020,"[59.37, 62.00]",4,5
ENG,2021,"[34.64, 37.00]",1,2
ENG,2021,"[41.32, 44.00]",2,3
ENG,2021,"[51.82, 55.00]",3,4
ENG,2021,"[58.50, 62.00]",4,5
MATH,2014,"[36.68, 37.00]",1,2
MATH,2014,"[43.86, 44.00]",2,3
MATH,2014,"[54.00, 54.11]",4,3
MATH,2014,"[62.00, 62.32]",5,4
MATH,2015,"[35.57, 37.00]",1,2
MATH,2015,"[42.50, 44.00]",2,3
MATH,2015,"[52.40, 54.00]",3,4
MATH,2015,"[60.32, 62.00]",4,5
MATH,2016,"[36.47, 37.00]",1,2
MATH,2016,"[43.33, 44.00]",2,3
MATH,2016,"[53.13, 54.00]",3,4
MATH,2016,"[60.96, 62.00]",4,5
MATH,2017,"[36.58, 37.00]",1,2
MATH,2017,"[43.30, 44.00]",2,3
MATH,2017,"[52.89, 54.00]",3,4
MATH,2017,"[60.56, 62.00]",4,5
MATH,2018,"[36.84, 37.00]",1,2
MATH,2018,"[43.37, 44.00]",2,3
MATH,2018,"[52.69, 54.00]",3,4
MATH,2018,"[60.15, 62.00]",4,5
MATH,2019,"[36.96, 37.00]",1,2
MATH,2019,"[43.70, 44.00]",2,3
MATH,2019,"[53.34, 54.00]",3,4
MATH,2019,"[61.05, 62.00]",4,5
MATH,2020,"[37.00, 38.45]",2,1
MATH,2020,"[44.00, 44.97]",3,2
MATH,2020,"[54.00, 54.29]",4,3
MATH,2020,"[61.74, 62.00]",4,5
MATH,2021,"[37.00, 38.53]",2,1
MATH,2021,"[44.00, 44.92]",3,2
MATH,2021,"[54.00, 54.06]",4,3
MATH,2021,"[61.37, 62.00]",4,5
NOR,2016,"[36.32, 37.00]",1,2
NOR,2016,"[43.65, 44.00]",2,3
NOR,2016,"[54.00, 54.12]",4,3
NOR,2016,"[62.00, 62.50]",5,4
NOR,2017,"[37.00, 37.12]",2,1
NOR,2017,"[43.79, 44.00]",2,3
NOR,2017,"[53.32, 54.00]",3,4
NOR,2017,"[60.94, 62.00]",4,5
NOR,2018,"[37.00, 37.02]",2,1
NOR,2018,"[43.66, 44.00]",2,3
NOR,2018,"[53.14, 54.00]",3,4
NOR,2018,"[60.72, 62.00]",4,5
NOR,2019,"[36.90, 37.00]",1,2
NOR,2019,"[43.75, 44.00]",2,3
NOR,2019,"[53.54, 54.00]",3,4
NOR,2019,"[61.38, 62.00]",4,5
NOR,2020,"[37.00, 38.26]",2,1
NOR,2020,"[44.00, 45.12]",3,2
NOR,2020,"[54.00, 54.93]",4,3
NOR,2020,"[62.00, 62.77]",5,4
NOR,2021,"[37.00, 38.69]",2,1
NOR,2021,"[44.00, 45.51]",3,2
NOR,2021,"[54.00, 55.26]",4,3
NOR,2021,"[62.00, 63.05]",5,4
