year,subject,grade,threshold_idx,lower_level,upper_level,lower_max,upper_min,threshold
2014,ENG,5,1,1,2,42.499,42.501,42.5
2014,ENG,5,2,2,3,56.499,56.5,56.5
2014,ENG,8,1,1,2,36.498,36.5,36.5
2014,ENG,8,2,2,3,43.499,43.5,43.5
2014,ENG,8,3,3,4,55.499,55.5,55.5
2014,ENG,8,4,4,5,62.499,62.501,62.5
2014,MATH,5,1,1,2,42.499,42.5,42.5
2014,MATH,5,2,2,3,56.499,56.5,56.5
2014,MATH,8,1,1,2,36.997,37,37
2014,MATH,8,2,2,3,44.999,45,45
2014,MATH,8,3,3,4,54.999,55,55
2014,MATH,8,4,4,5,62.999,63,63
2014,NOR,5,1,1,2,42.499,42.5,42.5
2014,NOR,5,2,2,3,56.499,56.5,56.5
2014,NOR,8,1,1,2,36.499,36.5,36.5
2014,NOR,8,2,2,3,43.499,43.5,43.5
2014,NOR,8,3,3,4,54.499,54.5,54.5
2014,NOR,8,4,4,5,62.498,62.5,62.5
2015,ENG,5,1,1,2,42.499,42.5,42.5
2015,ENG,5,2,2,3,56.499,56.5,56.5
2015,ENG,8,1,1,2,36.499,36.5,36.5
2015,ENG,8,2,2,3,43.499,43.5,43.5
2015,ENG,8,3,3,4,55.499,55.5,55.5
2015,ENG,8,4,4,5,62.499,62.501,62.5
2015,MATH,5,1,1,2,42.499,42.5,42.5
2015,MATH,5,2,2,3,56.499,56.5,56.5
2015,MATH,8,1,1,2,36.499,36.5,36.5
2015,MATH,8,2,2,3,44.499,44.5,44.5
2015,MATH,8,3,3,4,54.499,54.5,54.5
2015,MATH,8,4,4,5,62.499,62.5,62.5
2015,NOR,5,1,1,2,42.499,42.5,42.5
2015,NOR,5,2,2,3,56.499,56.5,56.5
2015,NOR,8,1,1,2,36.497,36.503,36.5
2015,NOR,8,2,2,3,44.499,44.5,44.5
2015,NOR,8,3,3,4,54.499,54.5,54.5
2015,NOR,8,4,4,5,62.498,62.501,62.5
2016,ENG,5,1,1,2,42.499,42.5,42.5
2016,ENG,5,2,2,3,56.498,56.5,56.5
2016,ENG,8,1,1,2,36.499,36.5,36.5
2016,ENG,8,2,2,3,43.499,43.5,43.5
2016,ENG,8,3,3,4,55.499,55.5,55.5
2016,ENG,8,4,4,5,62.499,62.5,62.5
2016,MATH,5,1,1,2,42.498,42.5,42.5
2016,MATH,5,2,2,3,56.499,56.502,56.5
2016,MATH,8,1,1,2,36.499,36.5,36.5
2016,MATH,8,2,2,3,44.499,44.5,44.5
2016,MATH,8,3,3,4,54.499,54.5,54.5
2016,MATH,8,4,4,5,62.499,62.5,62.5
2016,NOR,5,1,1,2,42.499,42.501,42.5
2016,NOR,5,2,2,3,57.499,57.5,57.5
2016,NOR,8,1,1,2,37.497,37.5,37.5
2016,NOR,8,2,2,3,43.499,43.5,43.5
2016,NOR,8,3,3,4,54.499,54.5,54.5
2016,NOR,8,4,4,5,62.499,62.501,62.5
2017,ENG,5,1,1,2,42.499,42.5,42.5
2017,ENG,5,2,2,3,56.499,56.5,56.5
2017,ENG,8,1,1,2,36.498,36.5,36.5
2017,ENG,8,2,2,3,43.499,43.501,43.5
2017,ENG,8,3,3,4,55.499,55.5,55.5
2017,ENG,8,4,4,5,62.499,62.501,62.5
2017,MATH,5,1,1,2,42.499,42.5,42.5
2017,MATH,5,2,2,3,56.499,56.5,56.5
2017,MATH,8,1,1,2,36.499,36.5,36.5
2017,MATH,8,2,2,3,44.499,44.5,44.5
2017,MATH,8,3,3,4,54.499,54.5,54.5
2017,MATH,8,4,4,5,62.499,62.501,62.5
2017,NOR,5,1,1,2,42.499,42.5,42.5
2017,NOR,5,2,2,3,57.499,57.5,57.5
2017,NOR,8,1,1,2,37.499,37.5,37.5
2017,NOR,8,2,2,3,43.497,43.5,43.5
2017,NOR,8,3,3,4,54.499,54.5,54.5
2017,NOR,8,4,4,5,62.498,62.503,62.5
2018,ENG,5,1,1,2,42.499,42.5,42.5
2018,ENG,5,2,2,3,56.498,56.5,56.5
2018,ENG,8,1,1,2,36.499,36.5,36.5
2018,ENG,8,2,2,3,43.499,43.5,43.5
2018,ENG,8,3,3,4,55.497,55.5,55.5
2018,ENG,8,4,4,5,62.498,62.5,62.5
2018,MATH,5,1,1,2,42.499,42.501,42.5
2018,MATH,5,2,2,3,56.499,56.501,56.5
2018,MATH,8,1,1,2,36.499,36.5,36.5
2018,MATH,8,2,2,3,44.499,44.501,44.5
2018,MATH,8,3,3,4,54.499,54.5,54.5
2018,MATH,8,4,4,5,62.499,62.501,62.5
2018,NOR,5,1,1,2,42.499,42.5,42.5
2018,NOR,5,2,2,3,57.499,57.5,57.5
2018,NOR,8,1,1,2,37.499,37.5,37.5
2018,NOR,8,2,2,3,43.499,43.5,43.5
2018,NOR,8,3,3,4,54.499,54.5,54.5
2018,NOR,8,4,4,5,62.498,62.501,62.5
2019,ENG,5,1,1,2,42.499,42.5,42.5
2019,ENG,5,2,2,3,56.499,56.5,56.5
2019,ENG,8,1,1,2,36.499,36.501,36.5
2019,ENG,8,2,2,3,43.499,43.5,43.5
2019,ENG,8,3,3,4,55.499,55.5,55.5
2019,ENG,8,4,4,5,62.499,62.5,62.5
2019,MATH,5,1,1,2,42.499,42.5,42.5
2019,MATH,5,2,2,3,56.499,56.5,56.5
2019,MATH,8,1,1,2,36.499,36.501,36.5
2019,MATH,8,2,2,3,44.499,44.5,44.5
2019,MATH,8,3,3,4,54.499,54.5,54.5
2019,MATH,8,4,4,5,62.499,62.5,62.5
2019,NOR,5,1,1,2,42.499,42.5,42.5
2019,NOR,5,2,2,3,57.498,57.5,57.5
2019,NOR,8,1,1,2,37.499,37.5,37.5
2019,NOR,8,2,2,3,43.499,43.5,43.5
2019,NOR,8,3,3,4,54.499,54.5,54.5
2019,NOR,8,4,4,5,62.499,62.5,62.5
2020,ENG,5,1,1,2,42.499,42.5,42.5
2020,ENG,5,2,2,3,56.498,56.5,56.5
2020,ENG,8,1,1,2,36.499,36.5,36.5
2020,ENG,8,2,2,3,43.498,43.5,43.5
2020,ENG,8,3,3,4,55.499,55.5,55.5
2020,ENG,8,4,4,5,62.499,62.5,62.5
2020,MATH,5,1,1,2,42.499,42.5,42.5
2020,MATH,5,2,2,3,56.499,56.5,56.5
2020,MATH,8,1,1,2,36.499,36.5,36.5
2020,MATH,8,2,2,3,44.499,44.5,44.5
2020,MATH,8,3,3,4,54.499,54.5,54.5
2020,MATH,8,4,4,5,62.499,62.501,62.5
2020,NOR,5,1,1,2,42.499,42.501,42.5
2020,NOR,5,2,2,3,57.499,57.5,57.5
2020,NOR,8,1,1,2,37.499,37.501,37.5
2020,NOR,8,2,2,3,43.499,43.501,43.5
2020,NOR,8,3,3,4,54.499,54.5,54.5
2020,NOR,8,4,4,5,62.497,62.5,62.5
2021,ENG,5,1,1,2,42.499,42.5,42.5
2021,ENG,5,2,2,3,56.499,56.5,56.5
2021,ENG,8,1,1,2,36.499,36.5,36.5
2021,ENG,8,2,2,3,43.499,43.5,43.5
2021,ENG,8,3,3,4,55.499,55.5,55.5
2021,ENG,8,4,4,5,62.499,62.501,62.5
2021,MATH,5,1,1,2,42.499,42.5,42.5
2021,MATH,5,2,2,3,56.499,56.5,56.5
2021,MATH,8,1,1,2,36.498,36.501,36.5
2021,MATH,8,2,2,3,44.499,44.5,44.5
2021,MATH,8,3,3,4,54.499,54.501,54.5
2021,MATH,8,4,4,5,62.498,62.501,62.5
2021,NOR,5,1,1,2,42.499,42.5,42.5
2021,NOR,5,2,2,3,57.499,57.501,57.5
2021,NOR,8,1,1,2,37.499,37.5,37.5
2021,NOR,8,2,2,3,43.499,43.5,43.5
2021,NOR,8,3,3,4,54.499,54.5,54.5
2021,NOR,8,4,4,5,62.499,62.5,62.5
