subject,grade,first_year,threshold_idx,lower_level,upper_level,target_pctl,target_score,actual_threshold,actual_pctl,subject_label
ENG,5,2014,1,1,2,25,42.55,42.5,24.8,English
ENG,5,2014,2,2,3,75,56.51,56.5,75,English
ENG,8,2014,1,1,2,10,36.89,36.5,9.2,English
ENG,8,2014,2,2,3,30,44,43.5,28.4,English
ENG,8,2014,3,3,4,70,55.96,55.5,68.6,English
ENG,8,2014,4,4,5,90,63.24,62.5,88.5,English
MATH,5,2014,1,1,2,25,42.61,42.5,24.6,Mathematics
MATH,5,2014,2,2,3,75,56.83,56.5,74.1,Mathematics
MATH,8,2014,1,1,2,10,36.88,37,10.3,Mathematics
MATH,8,2014,2,2,3,30,44.42,45,32,Mathematics
MATH,8,2014,3,3,4,70,55.31,55,68.9,Mathematics
MATH,8,2014,4,4,5,90,63.11,63,89.8,Mathematics
NOR,5,2014,1,1,2,25,43.06,42.5,23.2,Reading
NOR,5,2014,2,2,3,75,56.87,56.5,73.8,Reading
NOR,8,2014,1,1,2,10,37.23,36.5,8.7,Reading
NOR,8,2014,2,2,3,30,44.54,43.5,26.5,Reading
NOR,8,2014,3,3,4,70,55.34,54.5,67.2,Reading
NOR,8,2014,4,4,5,90,63.13,62.5,88.9,Reading
