subject,grade_level,year,n_total,n_unchanged,n_moved_up,n_moved_down,pct_unchanged,pct_moved_up,pct_moved_down,pct_changed
ENG,5,2014,56758,54203,1530,1025,95.5,2.7,1.81,4.5
ENG,5,2015,56632,52111,0,4521,92.02,0,7.98,7.98
ENG,5,2016,58236,56733,0,1503,97.42,0,2.58,2.58
ENG,5,2017,58081,56912,662,507,97.99,1.14,0.87,2.01
ENG,5,2018,59803,56170,3633,0,93.93,6.07,0,6.07
ENG,5,2019,60726,56262,1779,2685,92.65,2.93,4.42,7.35
ENG,5,2020,60002,55944,2589,1469,93.24,4.31,2.45,6.76
ENG,5,2021,58245,51203,7042,0,87.91,12.09,0,12.09
ENG,8,2014,57290,55416,943,931,96.73,1.65,1.63,3.27
ENG,8,2015,56156,50756,5348,52,90.38,9.52,0.09,9.62
ENG,8,2016,58053,51710,6293,50,89.07,10.84,0.09,10.93
ENG,8,2017,58674,53330,5311,33,90.89,9.05,0.06,9.11
ENG,8,2018,58762,50788,7974,0,86.43,13.57,0,13.57
ENG,8,2019,60165,50917,9137,111,84.63,15.19,0.18,15.37
ENG,8,2020,59887,45424,14463,0,75.85,24.15,0,24.15
ENG,8,2021,61530,40493,21037,0,65.81,34.19,0,34.19
MATH,5,2014,57229,56290,478,461,98.36,0.84,0.81,1.64
MATH,5,2015,57125,54474,2191,460,95.36,3.84,0.81,4.64
MATH,5,2016,58840,55950,2505,385,95.09,4.26,0.65,4.91
MATH,5,2017,58700,55078,3437,185,93.83,5.86,0.32,6.17
MATH,5,2018,60480,56025,4088,367,92.63,6.76,0.61,7.37
MATH,5,2019,61354,56318,2489,2547,91.79,4.06,4.15,8.21
MATH,5,2020,60450,53783,490,6177,88.97,0.81,10.22,11.03
MATH,5,2021,58576,53317,2394,2865,91.02,4.09,4.89,8.98
MATH,8,2014,57441,52385,5056,0,91.2,8.8,0,8.8
MATH,8,2015,56294,44712,11523,59,79.43,20.47,0.1,20.57
MATH,8,2016,58209,51077,7074,58,87.75,12.15,0.1,12.25
MATH,8,2017,59008,50692,8222,94,85.91,13.93,0.16,14.09
MATH,8,2018,59054,49302,9384,368,83.49,15.89,0.62,16.51
MATH,8,2019,60569,54243,5817,509,89.56,9.6,0.84,10.44
MATH,8,2020,60180,55346,1243,3591,91.97,2.07,5.97,8.03
MATH,8,2021,61677,55968,2304,3405,90.74,3.74,5.52,9.26
NOR,5,2016,58309,52198,6076,35,89.52,10.42,0.06,10.48
NOR,5,2017,58178,52918,5255,5,90.96,9.03,0.01,9.04
NOR,5,2018,59792,53968,4488,1336,90.26,7.51,2.23,9.74
NOR,5,2019,60699,53636,3260,3803,88.36,5.37,6.27,11.64
NOR,5,2020,59852,53004,2547,4301,88.56,4.26,7.19,11.44
NOR,5,2021,58001,50297,3808,3896,86.72,6.57,6.72,13.28
NOR,8,2016,58082,55634,2083,365,95.79,3.59,0.63,4.21
NOR,8,2017,58833,53583,4622,628,91.08,7.86,1.07,8.92
NOR,8,2018,58952,53197,5425,330,90.24,9.2,0.56,9.76
NOR,8,2019,60377,55801,4117,459,92.42,6.82,0.76,7.58
NOR,8,2020,60174,54577,0,5597,90.7,0,9.3,9.3
NOR,8,2021,61528,53189,0,8339,86.45,0,13.55,13.55
