subject,grade_level,year,level_old,level_new,N
ENG,5,2014,1,1,12557
ENG,5,2014,1,2,1530
ENG,5,2014,2,2,28470
ENG,5,2014,3,2,1025
ENG,5,2014,3,3,13176
ENG,5,2015,1,1,14432
ENG,5,2015,2,1,2362
ENG,5,2015,2,2,26132
ENG,5,2015,3,1,13
ENG,5,2015,3,2,2146
ENG,5,2015,3,3,11547
ENG,5,2016,1,1,14187
ENG,5,2016,2,1,552
ENG,5,2016,2,2,29382
ENG,5,2016,3,1,10
ENG,5,2016,3,2,941
ENG,5,2016,3,3,13164
ENG,5,2017,1,1,13447
ENG,5,2017,2,1,507
ENG,5,2017,2,2,28651
ENG,5,2017,2,3,662
ENG,5,2017,3,3,14814
ENG,5,2018,1,1,13193
ENG,5,2018,1,2,753
ENG,5,2018,2,2,27237
ENG,5,2018,2,3,2880
ENG,5,2018,3,3,15740
ENG,5,2019,1,1,14988
ENG,5,2019,2,1,2685
ENG,5,2019,2,2,25348
ENG,5,2019,2,3,1779
ENG,5,2019,3,3,15926
ENG,5,2020,1,1,14793
ENG,5,2020,2,1,1469
ENG,5,2020,2,2,24614
ENG,5,2020,2,3,2589
ENG,5,2020,3,3,16537
ENG,5,2021,1,1,12940
ENG,5,2021,1,2,1614
ENG,5,2021,2,2,20946
ENG,5,2021,2,3,5428
ENG,5,2021,3,3,17317
ENG,8,2014,1,1,5272
ENG,8,2014,2,1,244
ENG,8,2014,2,2,10750
ENG,8,2014,3,2,687
ENG,8,2014,3,3,21673
ENG,8,2014,3,4,660
ENG,8,2014,4,4,11145
ENG,8,2014,4,5,283
ENG,8,2014,5,5,6576
ENG,8,2015,1,1,4753
ENG,8,2015,1,2,37
ENG,8,2015,2,1,14
ENG,8,2015,2,2,10314
ENG,8,2015,2,3,394
ENG,8,2015,3,1,26
ENG,8,2015,3,3,20776
ENG,8,2015,3,4,2805
ENG,8,2015,4,1,5
ENG,8,2015,4,4,8673
ENG,8,2015,4,5,2112
ENG,8,2015,5,1,7
ENG,8,2015,5,5,6240
ENG,8,2016,1,1,4759
ENG,8,2016,1,2,446
ENG,8,2016,2,1,12
ENG,8,2016,2,2,9440
ENG,8,2016,2,3,813
ENG,8,2016,3,1,20
ENG,8,2016,3,3,21791
ENG,8,2016,3,4,2968
ENG,8,2016,4,1,9
ENG,8,2016,4,4,9450
ENG,8,2016,4,5,2066
ENG,8,2016,5,1,9
ENG,8,2016,5,5,6270
ENG,8,2017,1,1,4919
ENG,8,2017,2,1,33
ENG,8,2017,2,2,10690
ENG,8,2017,2,3,283
ENG,8,2017,3,3,21396
ENG,8,2017,3,4,2726
ENG,8,2017,4,4,9916
ENG,8,2017,4,5,2302
ENG,8,2017,5,5,6409
ENG,8,2018,1,1,4552
ENG,8,2018,1,2,127
ENG,8,2018,2,2,10316
ENG,8,2018,2,3,769
ENG,8,2018,3,3,20962
ENG,8,2018,3,4,3954
ENG,8,2018,4,4,8294
ENG,8,2018,4,5,3124
ENG,8,2018,5,5,6664
ENG,8,2019,1,1,5013
ENG,8,2019,2,1,111
ENG,8,2019,2,2,10194
ENG,8,2019,2,3,786
ENG,8,2019,3,3,21060
ENG,8,2019,3,4,4444
ENG,8,2019,4,4,7680
ENG,8,2019,4,5,3907
ENG,8,2019,5,5,6970
ENG,8,2020,1,1,4188
ENG,8,2020,1,2,1109
ENG,8,2020,2,2,8011
ENG,8,2020,2,3,2305
ENG,8,2020,3,3,19474
ENG,8,2020,3,4,6195
ENG,8,2020,4,4,7485
ENG,8,2020,4,5,4854
ENG,8,2020,5,5,6266
ENG,8,2021,1,1,3099
ENG,8,2021,1,2,1796
ENG,8,2021,2,2,6832
ENG,8,2021,2,3,4027
ENG,8,2021,3,3,17819
ENG,8,2021,3,4,8418
ENG,8,2021,4,4,6141
ENG,8,2021,4,5,6796
ENG,8,2021,5,5,6602
MATH,5,2014,1,1,14098
MATH,5,2014,2,1,461
MATH,5,2014,2,2,27391
MATH,5,2014,2,3,478
